	cust1	pass	1234-1234-1234-1234
	cust2	anotherpass	0123-0123-0123-0123
	cust3	yetanotherpass	\N
	olga	olga	7654-3433-2222-1234
	borislav	password	0367-2364-6655-1990
	john	jon	0123-3434-4424-6644
	mike2000	2000	2343-6745-7675-3333
	ferret	frt	0987-2343-3333-5326
	kot	tok	\N
	wow	thisispass	1231-1643-4833-9647
	johnoliver	aidgha	1924-4725-7383-7245
	eltonjohn	rocketman	7524-5225-1734-7531
	bonjovi	livinonaprayer	3069-4742-4272-8356
	skemmerman	ihacku	2396-4244-2863-3658
	mason	butt	5483-5382-9356-2145
	fox	xof	3161-3467-9367-2546
	archer	asdf	3146-6475-8657-1345
	fire	ads89g	1236-1754-7345-2456
	lilly	asij5	1346-5824-5427-5825
	yllil	asdf9	3613-6863-3658-1451
	reas	adfa	3933-5789-2567-2457
	addyf	fg4g	8467-3733-3893-7367
	supersecureaccount	password	1234-4321-1234-4321
	guessmypassword	 	1234-6432-7453-7435
	sendit	yega	3457-3547-2452-7245
